name,facebook,twitter,website,genre,mtv
 Fred Darian ,,,,,http://www.mtv.com/artists/fred-darian/biography
 Franco Luambo Makiadi ,,,,World/Reggae,http://www.mtv.com/artists/franco-luambo-makiadi/biography
 Frank Baley ,,,,,http://www.mtv.com/artists/frank-baley/biography
 Frank Bell ,http://www.facebook.com/131108164662,http://www.twitter.com/frankbellmusic,http://www.frankbell.net,Pop/Rock,http://www.mtv.com/artists/frank-bell/biography
 Frank Berardi ,,,,,http://www.mtv.com/artists/frank-berardi/biography
 Frank Black ,http://www.facebook.com/152032678636,http://www.twitter.com/mrblackfrancis,http://www.frankblack.net/main.asp,Rock,http://www.mtv.com/artists/frank-black-2/biography
 France Gall ,,,,Pop,http://www.mtv.com/artists/france-gall/biography
 Foolhardy ,,,,,http://www.mtv.com/artists/foolhardy/biography
 Foreign Islands ,,,,Rock,http://www.mtv.com/artists/foreign-islands/biography
 Flunk ,http://www.facebook.com/10447827857,,,Electronic/Dance,http://www.mtv.com/artists/flunk/biography
 Flux Pavilion ,,,,,http://www.mtv.com/artists/flux-pavilion/biography
 Flying Machine ,,,,Pop,http://www.mtv.com/artists/flying-machine-1-/biography
 Foals ,http://www.facebook.com/6226458530,http://www.twitter.com/foals,http://www.wearefoals.com/,Indie Rock,http://www.mtv.com/artists/foals/biography
 Folk Songs for the Afterlife ,,,,,http://www.mtv.com/artists/folk-songs-for-the-afterlife/biography
 Folkloras Draugu Kopa Skandinieki ,,,,,http://www.mtv.com/artists/folkloras-draugu-kopa-skandinieki/biography
 Fonseca ,http://www.facebook.com/5639033723,http://www.twitter.com/fonseca,,Latin,http://www.mtv.com/artists/fonseca/biography
 Forro Rasta Chinela ,,,,,http://www.mtv.com/artists/forro-rasta-chinela/biography
 Fort Lean ,http://www.facebook.com/191386360902154,http://www.twitter.com/fortlean,,Rock & Roll,http://www.mtv.com/artists/fort-lean/biography
 Flip Flop ,,,,Electronic/Dance,http://www.mtv.com/artists/flip-flop/biography
 Florraine Darlin ,,,,,http://www.cmt.com/artists/florraine-darlin/biography
 Floyd Flowers ,,,,,http://www.cmt.com/artists/floyd-flowers/biography
 Francesc Sadurni ,,,,,http://www.mtv.com/artists/francesc-sadurni-1/biography
 Francesca ,,,,,http://www.cmt.com/artists/francesca-3/biography
 Francine Jordi ,,,,Rock,http://www.mtv.com/artists/francine-jordi-00/biography
